SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,master_AXI_0.M_MASK_VALID_OUT,master_AXI_32s_32s|M_MASK_N_OUT6_inferred_clock,axi_lite_tut|aclk,COREAXI4INTERCONNECT_C0_0.COREAXI4INTERCONNECT_C0_0.MstConvertor_loop\[0\]\.mstrconv.rgsl.genblk3\.rrs.sDat[35:4],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
2,master_AXI_0.M_MASK_OUTPUT_ADDR_OUT[0],master_AXI_32s_32s|N_1_inferred_clock,axi_lite_tut|aclk,COREAXI4INTERCONNECT_C0_0.COREAXI4INTERCONNECT_C0_0.MstConvertor_loop\[0\]\.mstrconv.rgsl.genblk3\.rrs.sDat[35:4],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
3,master_AXI_0.M_MASK_OUTPUT_ADDR_OUT[1],master_AXI_32s_32s|N_1_inferred_clock,axi_lite_tut|aclk,COREAXI4INTERCONNECT_C0_0.COREAXI4INTERCONNECT_C0_0.MstConvertor_loop\[0\]\.mstrconv.rgsl.genblk3\.rrs.sDat[35:4],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
4,master_AXI_0.M_MASK_OUTPUT_ADDR_OUT[2],master_AXI_32s_32s|N_1_inferred_clock,axi_lite_tut|aclk,COREAXI4INTERCONNECT_C0_0.COREAXI4INTERCONNECT_C0_0.MstConvertor_loop\[0\]\.mstrconv.rgsl.genblk3\.rrs.sDat[35:4],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
5,master_AXI_0.M_MASK_OUTPUT_ADDR_OUT[3],master_AXI_32s_32s|N_1_inferred_clock,axi_lite_tut|aclk,COREAXI4INTERCONNECT_C0_0.COREAXI4INTERCONNECT_C0_0.MstConvertor_loop\[0\]\.mstrconv.rgsl.genblk3\.rrs.sDat[35:4],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
6,master_AXI_0.M_MASK_OUTPUT_ADDR_OUT[4],master_AXI_32s_32s|N_1_inferred_clock,axi_lite_tut|aclk,COREAXI4INTERCONNECT_C0_0.COREAXI4INTERCONNECT_C0_0.MstConvertor_loop\[0\]\.mstrconv.rgsl.genblk3\.rrs.sDat[35:4],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
7,master_AXI_0.M_MASK_OUTPUT_ADDR_OUT[5],master_AXI_32s_32s|N_1_inferred_clock,axi_lite_tut|aclk,COREAXI4INTERCONNECT_C0_0.COREAXI4INTERCONNECT_C0_0.MstConvertor_loop\[0\]\.mstrconv.rgsl.genblk3\.rrs.sDat[35:4],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
8,master_AXI_0.M_MASK_OUTPUT_ADDR_OUT[6],master_AXI_32s_32s|N_1_inferred_clock,axi_lite_tut|aclk,COREAXI4INTERCONNECT_C0_0.COREAXI4INTERCONNECT_C0_0.MstConvertor_loop\[0\]\.mstrconv.rgsl.genblk3\.rrs.sDat[35:4],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
9,master_AXI_0.M_MASK_OUTPUT_ADDR_OUT[7],master_AXI_32s_32s|N_1_inferred_clock,axi_lite_tut|aclk,COREAXI4INTERCONNECT_C0_0.COREAXI4INTERCONNECT_C0_0.MstConvertor_loop\[0\]\.mstrconv.rgsl.genblk3\.rrs.sDat[35:4],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
10,master_AXI_0.M_MASK_OUTPUT_ADDR_OUT[8],master_AXI_32s_32s|N_1_inferred_clock,axi_lite_tut|aclk,COREAXI4INTERCONNECT_C0_0.COREAXI4INTERCONNECT_C0_0.MstConvertor_loop\[0\]\.mstrconv.rgsl.genblk3\.rrs.sDat[35:4],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
11,master_AXI_0.M_MASK_OUTPUT_ADDR_OUT[9],master_AXI_32s_32s|N_1_inferred_clock,axi_lite_tut|aclk,COREAXI4INTERCONNECT_C0_0.COREAXI4INTERCONNECT_C0_0.MstConvertor_loop\[0\]\.mstrconv.rgsl.genblk3\.rrs.sDat[35:4],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
