pin,slack
clockDivider_0/counter[3]:CLK,
clockDivider_0/counter[3]:D,
clockDivider_0/counter[3]:Q,
clockDivider_0/clk_out:CLK,
clockDivider_0/clk_out:D,
clockDivider_0/clk_out:EN,
clockDivider_0/clk_out:Q,
PF_CCC_C0_0/PF_CCC_C0_0/clkint_0/U0_RGB1:A,
PF_CCC_C0_0/PF_CCC_C0_0/clkint_0/U0_RGB1:Y,
clockDivider_0/un1_counter_1_cry_5:B,
clockDivider_0/un1_counter_1_cry_5:CC,
clockDivider_0/un1_counter_1_cry_5:P,
clockDivider_0/un1_counter_1_cry_5:S,
clockDivider_0/un1_counter_1_cry_5:Y3,
clockDivider_0/un1_counter_1_cry_5:Y3A,
clockDivider_0/counter[9]:CLK,
clockDivider_0/counter[9]:D,
clockDivider_0/counter[9]:Q,
clockDivider_0/counter[5]:CLK,
clockDivider_0/counter[5]:D,
clockDivider_0/counter[5]:Q,
clockDivider_0/counter[5]:SLn,
clockDivider_0/un1_counter_1_cry_10:B,
clockDivider_0/un1_counter_1_cry_10:CC,
clockDivider_0/un1_counter_1_cry_10:P,
clockDivider_0/un1_counter_1_cry_10:S,
clockDivider_0/un1_counter_1_cry_10:Y3,
clockDivider_0/un1_counter_1_cry_10:Y3A,
clockDivider_0/counter[18]:CLK,
clockDivider_0/counter[18]:D,
clockDivider_0/counter[18]:Q,
clockDivider_0/counter[18]:SLn,
clockDivider_0/un1_counter_1_s_1_52_CC_1:CC[0],
clockDivider_0/un1_counter_1_s_1_52_CC_1:CC[1],
clockDivider_0/un1_counter_1_s_1_52_CC_1:CC[2],
clockDivider_0/un1_counter_1_s_1_52_CC_1:CC[3],
clockDivider_0/un1_counter_1_s_1_52_CC_1:CC[4],
clockDivider_0/un1_counter_1_s_1_52_CC_1:CC[5],
clockDivider_0/un1_counter_1_s_1_52_CC_1:CC[6],
clockDivider_0/un1_counter_1_s_1_52_CC_1:CC[7],
clockDivider_0/un1_counter_1_s_1_52_CC_1:CI,
clockDivider_0/un1_counter_1_s_1_52_CC_1:P[0],
clockDivider_0/un1_counter_1_s_1_52_CC_1:P[1],
clockDivider_0/un1_counter_1_s_1_52_CC_1:P[2],
clockDivider_0/un1_counter_1_s_1_52_CC_1:P[3],
clockDivider_0/un1_counter_1_s_1_52_CC_1:P[4],
clockDivider_0/un1_counter_1_s_1_52_CC_1:P[5],
clockDivider_0/un1_counter_1_s_1_52_CC_1:P[6],
clockDivider_0/un1_counter_1_s_1_52_CC_1:P[7],
clockDivider_0/un1_counter_1_s_1_52_CC_1:Y3A[0],
clockDivider_0/un1_counter_1_s_1_52_CC_1:Y3A[1],
clockDivider_0/un1_counter_1_s_1_52_CC_1:Y3A[2],
clockDivider_0/un1_counter_1_s_1_52_CC_1:Y3A[3],
clockDivider_0/un1_counter_1_s_1_52_CC_1:Y3A[4],
clockDivider_0/un1_counter_1_s_1_52_CC_1:Y3A[5],
clockDivider_0/un1_counter_1_s_1_52_CC_1:Y3A[6],
clockDivider_0/un1_counter_1_s_1_52_CC_1:Y3A[7],
clockDivider_0/un1_counter_1_s_1_52_CC_1:Y3[0],
clockDivider_0/un1_counter_1_s_1_52_CC_1:Y3[1],
clockDivider_0/un1_counter_1_s_1_52_CC_1:Y3[2],
clockDivider_0/un1_counter_1_s_1_52_CC_1:Y3[3],
clockDivider_0/un1_counter_1_s_1_52_CC_1:Y3[4],
