pin,slack
ident_coreinst/IICE_INST/b5_nUTGT/b6_nUT_fF_0_o2_i_o2_RNIUQ66J:A,5227
ident_coreinst/IICE_INST/b5_nUTGT/b6_nUT_fF_0_o2_i_o2_RNIUQ66J:B,5213
ident_coreinst/IICE_INST/b5_nUTGT/b6_nUT_fF_0_o2_i_o2_RNIUQ66J:C,883
ident_coreinst/IICE_INST/b5_nUTGT/b6_nUT_fF_0_o2_i_o2_RNIUQ66J:D,847
ident_coreinst/IICE_INST/b5_nUTGT/b6_nUT_fF_0_o2_i_o2_RNIUQ66J:Y,847
master/dataOut[0]:CLK,8187
master/dataOut[0]:D,7513
master/dataOut[0]:Q,8187
ident_coreinst/output_leds_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_srsts_i_0[12]:A,
ident_coreinst/output_leds_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_srsts_i_0[12]:B,7520
ident_coreinst/output_leds_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_srsts_i_0[12]:C,7426
ident_coreinst/output_leds_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_srsts_i_0[12]:Y,7426
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/genblk3.b8_vABZ3qsY:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/genblk3.b8_vABZ3qsY:D,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/genblk3.b8_vABZ3qsY:EN,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/genblk3.b8_vABZ3qsY:Q,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/genblk3.b8_vABZ3qsY:SLn,
ident_coreinst/IICE_INST/b5_nUTGT/b6_Ocm0rW_i_0_a3_0[1]:A,7506
ident_coreinst/IICE_INST/b5_nUTGT/b6_Ocm0rW_i_0_a3_0[1]:B,7487
ident_coreinst/IICE_INST/b5_nUTGT/b6_Ocm0rW_i_0_a3_0[1]:C,1658
ident_coreinst/IICE_INST/b5_nUTGT/b6_Ocm0rW_i_0_a3_0[1]:D,2338
ident_coreinst/IICE_INST/b5_nUTGT/b6_Ocm0rW_i_0_a3_0[1]:Y,1658
ident_coreinst/comm_block_INST/b7_Rcmi_ql/genblk1.b10_dZst39_EF3[4]:CLK,
ident_coreinst/comm_block_INST/b7_Rcmi_ql/genblk1.b10_dZst39_EF3[4]:D,
ident_coreinst/comm_block_INST/b7_Rcmi_ql/genblk1.b10_dZst39_EF3[4]:EN,
ident_coreinst/comm_block_INST/b7_Rcmi_ql/genblk1.b10_dZst39_EF3[4]:Q,
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b5_PRWcJ[4]:CLK,6642
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b5_PRWcJ[4]:D,7438
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b5_PRWcJ[4]:Q,6642
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b5_PRWcJ[4]:SLn,-85
ident_coreinst/output_leds_INST/b5_nUTGT/b3_nUT[3]:CLK,2569
ident_coreinst/output_leds_INST/b5_nUTGT/b3_nUT[3]:D,
ident_coreinst/output_leds_INST/b5_nUTGT/b3_nUT[3]:Q,2569
ident_coreinst/output_leds_INST/b5_nUTGT/b3_nUT[3]:SLn,
ident_coreinst/output_leds_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[3]:A,8323
ident_coreinst/output_leds_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[3]:B,8291
ident_coreinst/output_leds_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[3]:C,3128
ident_coreinst/output_leds_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[3]:D,7376
ident_coreinst/output_leds_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[3]:Y,3128
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM_RNIT08ID[0]:A,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM_RNIT08ID[0]:B,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM_RNIT08ID[0]:C,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM_RNIT08ID[0]:D,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM_RNIT08ID[0]:Y,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9[1]:CLK,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9[1]:D,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9[1]:EN,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9[1]:Q,
ident_coreinst/output_leds_INST/b5_nUTGT/iclksync_status/dst_req_r:A,
ident_coreinst/output_leds_INST/b5_nUTGT/iclksync_status/dst_req_r:B,
ident_coreinst/output_leds_INST/b5_nUTGT/iclksync_status/dst_req_r:Y,
ident_coreinst/output_leds_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[4]:CLK,
ident_coreinst/output_leds_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[4]:D,
ident_coreinst/output_leds_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[4]:EN,
ident_coreinst/output_leds_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[4]:Q,
ident_coreinst/output_leds_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[4]:SLn,
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b8_uUT_CqMr[2]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b8_uUT_CqMr[2]:D,2405
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b8_uUT_CqMr[2]:EN,8212
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b8_uUT_CqMr[2]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b8_uUT_CqMr[2]:SLn,
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[3]:A,
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[3]:B,8252
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[3]:C,7458
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[3]:D,2304
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[3]:Y,2304
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_5[23]:A,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_5[23]:B,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_5[23]:C,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_5[23]:Y,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_5[0]:A,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_5[0]:B,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_5[0]:C,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_5[0]:Y,
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/g0_i_a5_0:A,3601
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/g0_i_a5_0:B,5079
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/g0_i_a5_0:Y,3601
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un5_b5_PRWcJ_axbxc5:A,8340
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un5_b5_PRWcJ_axbxc5:B,7438
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un5_b5_PRWcJ_axbxc5:C,8249
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un5_b5_PRWcJ_axbxc5:D,8152
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un5_b5_PRWcJ_axbxc5:Y,7438
ident_coreinst/output_leds_INST/b3_SoW/genblk9.b7_nYJ_BFM[1]:CLK,
ident_coreinst/output_leds_INST/b3_SoW/genblk9.b7_nYJ_BFM[1]:D,
ident_coreinst/output_leds_INST/b3_SoW/genblk9.b7_nYJ_BFM[1]:EN,
ident_coreinst/output_leds_INST/b3_SoW/genblk9.b7_nYJ_BFM[1]:Q,
ident_coreinst/output_leds_INST/b3_SoW/genblk9.b7_nYJ_BFM[1]:SLn,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[8]:A,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[8]:B,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[8]:C,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[8]:Y,
ident_coreinst/comm_block_INST/jtagi/b9_nv_oQwfYF_RNIVIS37/U0_RGB1:A,
ident_coreinst/comm_block_INST/jtagi/b9_nv_oQwfYF_RNIVIS37/U0_RGB1:Y,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/genblk1.b3_nfs[0]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/genblk1.b3_nfs[0]:D,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/genblk1.b3_nfs[0]:EN,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/genblk1.b3_nfs[0]:Q,
ident_coreinst/output_leds_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[21]:A,
ident_coreinst/output_leds_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[21]:B,
ident_coreinst/output_leds_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[21]:Y,
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk2.b5_oRB_C[1]:CLK,6653
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk2.b5_oRB_C[1]:D,9110
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk2.b5_oRB_C[1]:Q,6653
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b9_SoW_TWsrw_b9_SoW_TWsrw_0_0/CFG_17:B,2781
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b9_SoW_TWsrw_b9_SoW_TWsrw_0_0/CFG_17:IPB,2781
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b9_SoW_TWsrw_b9_SoW_TWsrw_0_0/CFG_17:IPC,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b9_SoW_TWsrw_b9_SoW_TWsrw_0_0/CFG_17:IPD,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[16]:CLK,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[16]:D,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[16]:EN,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[16]:Q,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[16]:SLn,
ident_coreinst/output_leds_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[1]:CLK,
ident_coreinst/output_leds_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[1]:D,
ident_coreinst/output_leds_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[1]:EN,
ident_coreinst/output_leds_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[1]:Q,
ident_coreinst/output_leds_INST/b3_SoW/virOut/genblk1.b13_PLF_2grFt_FH9[1]:SLn,
ident_coreinst/output_leds_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/genblk1.genblk1.b13_PLy_2grFt_FH9[1]:CLK,
ident_coreinst/output_leds_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/genblk1.genblk1.b13_PLy_2grFt_FH9[1]:D,
ident_coreinst/output_leds_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/genblk1.genblk1.b13_PLy_2grFt_FH9[1]:EN,
ident_coreinst/output_leds_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/genblk1.genblk1.b13_PLy_2grFt_FH9[1]:Q,
ident_coreinst/output_leds_INST/b3_SoW/genblk9.b9_v_mzCDYXsc_2:A,
ident_coreinst/output_leds_INST/b3_SoW/genblk9.b9_v_mzCDYXsc_2:B,
ident_coreinst/output_leds_INST/b3_SoW/genblk9.b9_v_mzCDYXsc_2:Y,
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[1]:B,7009
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[1]:CC,7319
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[1]:P,7009
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[1]:S,7319
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[1]:Y3,
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[1]:Y3A,
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNICPP6I[5]:A,4485
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNICPP6I[5]:B,4465
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNICPP6I[5]:C,4393
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNICPP6I[5]:Y,4393
ident_coreinst/output_leds_INST/b5_nUTGT/cntrl_chain/genblk2.b3_nUT[2]:CLK,
ident_coreinst/output_leds_INST/b5_nUTGT/cntrl_chain/genblk2.b3_nUT[2]:D,
ident_coreinst/output_leds_INST/b5_nUTGT/cntrl_chain/genblk2.b3_nUT[2]:EN,
ident_coreinst/output_leds_INST/b5_nUTGT/cntrl_chain/genblk2.b3_nUT[2]:Q,
ident_coreinst/output_leds_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[2]:CLK,
ident_coreinst/output_leds_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[2]:D,
ident_coreinst/output_leds_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[2]:EN,
ident_coreinst/output_leds_INST/b4_PfFz/b5_PbrtL/b6_OKctIF[2]:Q,
ident_coreinst/output_leds_INST/b3_SoW/genblk4.b11_oGA_BXsO_OS/genblk2.b8_nczQ_DYg_RNIPOHC2[7]:A,
ident_coreinst/output_leds_INST/b3_SoW/genblk4.b11_oGA_BXsO_OS/genblk2.b8_nczQ_DYg_RNIPOHC2[7]:Y,
ident_coreinst/output_leds_INST/b3_SoW/b6_SoWyQD/genblk4.b5_PRWcJ37_0:A,5786
ident_coreinst/output_leds_INST/b3_SoW/b6_SoWyQD/genblk4.b5_PRWcJ37_0:B,5743
ident_coreinst/output_leds_INST/b3_SoW/b6_SoWyQD/genblk4.b5_PRWcJ37_0:C,4801
ident_coreinst/output_leds_INST/b3_SoW/b6_SoWyQD/genblk4.b5_PRWcJ37_0:D,2371
ident_coreinst/output_leds_INST/b3_SoW/b6_SoWyQD/genblk4.b5_PRWcJ37_0:Y,2371
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r0[6]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r0[6]:D,
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r0[6]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3[1]:CLK,599
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3[1]:D,914
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3[1]:Q,599
ident_coreinst/output_leds_INST/b3_SoW/b8_jAA_KlCO_0_sqmuxa_7_5:A,6608
ident_coreinst/output_leds_INST/b3_SoW/b8_jAA_KlCO_0_sqmuxa_7_5:B,6571
ident_coreinst/output_leds_INST/b3_SoW/b8_jAA_KlCO_0_sqmuxa_7_5:C,6505
ident_coreinst/output_leds_INST/b3_SoW/b8_jAA_KlCO_0_sqmuxa_7_5:D,6461
ident_coreinst/output_leds_INST/b3_SoW/b8_jAA_KlCO_0_sqmuxa_7_5:Y,6461
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM[2]:CLK,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM[2]:D,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM[2]:EN,
