Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,LSRAM (20K),Chip Globals
Primitives/Primitives,0,0,0,0,9,0,1
ident_coreinst/IICE_INST/Primitives,0,5,0,0,0,0,0
ident_coreinst/IICE_INST/b3_SoW/Primitives,63,61,0,0,0,0,0
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/Primitives,9,0,36,36,0,1,0
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/Primitives,48,24,0,0,0,0,0
ident_coreinst/IICE_INST/b3_SoW/genblk4.b11_oGA_BXsO_OS/Primitives,1,5,0,0,0,0,0
ident_coreinst/IICE_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/Primitives,0,8,0,0,0,0,0
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/Primitives,22,22,0,0,0,0,0
ident_coreinst/IICE_INST/b3_SoW/virOut/Primitives,2,32,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/Primitives,1,3,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b7_1LbcgKF/Primitives,6,0,0,0,0,0,0
ident_coreinst/IICE_INST/b5_nUTGT/Primitives,120,119,0,0,0,0,0
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/Primitives,5,30,0,0,0,0,0
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/Primitives,11,13,0,0,0,0,0
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_status/Primitives,9,13,0,0,0,0,0
ident_coreinst/IICE_INST/b8_uKr_IFLY/Primitives,14,0,0,0,0,0,0
ident_coreinst/comm_block_INST/Primitives,1,0,0,0,0,0,0
ident_coreinst/comm_block_INST/b7_Rcmi_ql/Primitives,2,18,0,0,0,0,0
ident_coreinst/comm_block_INST/b9_ORb_xNywD/Primitives,2,32,0,0,0,0,0
ident_coreinst/comm_block_INST/jtagi/Primitives,50,0,0,0,0,0,3
ident_coreinst/output_leds_INST/Primitives,0,9,0,0,0,0,0
ident_coreinst/output_leds_INST/b3_SoW/Primitives,69,69,0,0,0,0,0
ident_coreinst/output_leds_INST/b3_SoW/b3_SoW/Primitives,9,0,36,36,0,1,0
ident_coreinst/output_leds_INST/b3_SoW/b6_SoWyQD/Primitives,54,32,0,0,0,0,0
ident_coreinst/output_leds_INST/b3_SoW/genblk4.b11_oGA_BXsO_OS/Primitives,1,5,0,0,0,0,0
ident_coreinst/output_leds_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/Primitives,0,16,0,0,0,0,0
ident_coreinst/output_leds_INST/b3_SoW/samplerStatus/Primitives,22,22,0,0,0,0,0
ident_coreinst/output_leds_INST/b3_SoW/virOut/Primitives,2,32,0,0,0,0,0
ident_coreinst/output_leds_INST/b4_PfFz/b5_PbrtL/Primitives,1,6,0,0,0,0,0
ident_coreinst/output_leds_INST/b4_PfFz/b7_PbTtl9G/b6_2ZGFQ9/b25_O2yyf_fG2_MiQA1E6_q_lnxob/Primitives,1,0,0,0,0,0,0
ident_coreinst/output_leds_INST/b4_PfFz/b7_PbTtl9G/b7_1LbcgKF/Primitives,6,0,0,0,0,0,0
ident_coreinst/output_leds_INST/b4_PfFz/b7_PbTtl9G/b7_1LbcgKG/Primitives,6,0,0,0,0,0,0
ident_coreinst/output_leds_INST/b5_nUTGT/Primitives,128,119,0,0,0,0,0
ident_coreinst/output_leds_INST/b5_nUTGT/cntrl_chain/Primitives,5,30,0,0,0,0,0
ident_coreinst/output_leds_INST/b5_nUTGT/iclksync_current_state/Primitives,11,13,0,0,0,0,0
ident_coreinst/output_leds_INST/b5_nUTGT/iclksync_status/Primitives,9,13,0,0,0,0,0
ident_coreinst/output_leds_INST/b8_uKr_IFLY/Primitives,9,0,0,0,0,0,0
master/Primitives,4,3,0,0,0,0,0
slave/Primitives,5,1,0,0,0,0,0
