
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. top, 755, 629, 58, 0, 0, 2, 0, 4, 9
.	. masterAXI, 3, 4, 0, 0, 0, 0, 0, 0, 0
.	. slaveAXI, 1, 5, 0, 0, 0, 0, 0, 0, 0
.	. syn_identify_core0_0, 751, 619, 58, 0, 0, 2, 0, 3, 0
.	.	. IICE_regular_x_0, 335, 286, 29, 0, 0, 1, 0, 0, 0
.	.	.	. b11_OFWNT9s_8tZ_Z3_x_0, 152, 127, 20, 0, 0, 1, 0, 0, 0
.	.	.	.	. b11_SoWyP0zEFKY_Z2_x_0, 24, 38, 1, 0, 0, 0, 0, 0, 0
.	.	.	.	. b13_vFW_xNywD_EdR_10s_9s_512s_12s_x_0, 0, 9, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	. b18_nczQ_DYg_rbYq_Amnd_4s_1s_0s_15_x_0, 8, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b18_nczQ_DYg_rbYq_Amnd_8s_1s_0s_39s_x_0_0, 5, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b19_nczQ_DYg_YFaRM_oUoP_22s_1s_x_0_0, 22, 22, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b19_nczQ_DYg_YFaRM_oUoP_32s_1s_x_0_0, 32, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	. b3_uKr_x_0_0, 0, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	. b7_OCByLXC_Z1_x_0_0, 175, 138, 9, 0, 0, 0, 0, 0, 0
.	.	.	.	. b16_n2FydH_ab_FH9_K4_4s_x_0_0, 13, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b16_n2FydH_ab_FH9_K4_5s_x_0_0, 13, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b8_nR_ymqrG_9s_5s_0_0s_0s_0_255s_x_0_0, 30, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	. b8_PfFzrNYI_x_0, 3, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b13_PSyil9s1fkJ_K_x_0, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_1_0_1_4_5_6_7_x_0, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b5_nvmFL_3s_x_0, 3, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. comm_block_x_0, 50, 26, 0, 0, 0, 0, 0, 3, 0
.	.	.	. b16_Rcmi_qlx9_yHpm7y_Z6_x_0, 18, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. b17_ORbIwXaEF_FH9YoPA_32s_2485916549_0s_0s_x_0, 32, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	. jtag_interface_x_0, 0, 20, 0, 0, 0, 0, 0, 3, 0
.	.	. output_leds_regular_x_0, 366, 307, 29, 0, 0, 1, 0, 0, 0
.	.	.	. b11_OFWNT9s_8tZ_Z5_x_0, 176, 139, 20, 0, 0, 1, 0, 0, 0
.	.	.	.	. b11_SoWyP0zEFKY_Z4_x_0, 32, 44, 1, 0, 0, 0, 0, 0, 0
.	.	.	.	. b13_vFW_xNywD_EdR_14s_9s_512s_12s_x_0, 0, 9, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	. b18_nczQ_DYg_rbYq_Amnd_8s_1s_0s_255_x_0, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b18_nczQ_DYg_rbYq_Amnd_8s_1s_0s_39s_x_1_0, 5, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b19_nczQ_DYg_YFaRM_oUoP_22s_1s_x_1_0, 22, 22, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b19_nczQ_DYg_YFaRM_oUoP_32s_1s_x_1_0, 32, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	. b3_uKr_x_1_0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	. b7_OCByLXC_Z1_x_1_0, 175, 145, 9, 0, 0, 0, 0, 0, 0
.	.	.	.	. b16_n2FydH_ab_FH9_K4_4s_x_1_0, 13, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b16_n2FydH_ab_FH9_K4_5s_x_1_0, 13, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b8_nR_ymqrG_9s_5s_0_0s_0s_0_255s_x_1_0, 30, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	. b8_PfFzrNYI_0_x_0, 6, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b13_PSyil9s1fkJ_K_0_x_0, 0, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b14_CRGcTCua_eH4_k_x_0, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_0, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_0_1_0_4_5_6_7_x_0_0, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_0_1_0_4_5_6_7_x_1_0, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. b5_nvmFL_0_6s_x_0, 6, 1, 0, 0, 0, 0, 0, 0, 0
