
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. mydesign, 120, 63, 70, 0, 0, 1, 0, 2, 41
.	. COREFIFO_C0, 100, 61, 50, 0, 0, 0, 0, 0, 0
.	.	. COREFIFO_C0_COREFIFO_C0_0_COREFIFO_Z1, 100, 61, 50, 0, 0, 0, 0, 0, 0
.	.	.	. COREFIFO_C0_COREFIFO_C0_0_corefifo_async_Z2, 100, 61, 50, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREFIFO_C0_COREFIFO_C0_0_corefifo_NstagesSync_2s_6_0, 14, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREFIFO_C0_COREFIFO_C0_0_corefifo_NstagesSync_2s_6_1, 14, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREFIFO_C0_COREFIFO_C0_0_corefifo_grayToBinConv_6, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREFIFO_C0_COREFIFO_C0_0_corefifo_grayToBinConv_6_0, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	. PF_CCC_C0, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. PF_CCC_C0_PF_CCC_C0_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. PF_TPSRAM_C0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	. PF_TPSRAM_C0_PF_TPSRAM_C0_0_PF_TPSRAM, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	. counter, 20, 2, 20, 0, 0, 0, 0, 0, 0
