pin,slack
UART_TX_Inst/r_Bit_Index_0[0]:A,38341
UART_TX_Inst/r_Bit_Index_0[0]:B,37407
UART_TX_Inst/r_Bit_Index_0[0]:C,36460
UART_TX_Inst/r_Bit_Index_0[0]:Y,36460
UART_TX_Inst/r_SM_Main_ns_a2[4]:A,36812
UART_TX_Inst/r_SM_Main_ns_a2[4]:B,37571
UART_TX_Inst/r_SM_Main_ns_a2[4]:Y,36812
UART_RX_Inst/r_Clock_Count[3]:CLK,35664
UART_RX_Inst/r_Clock_Count[3]:D,35786
UART_RX_Inst/r_Clock_Count[3]:Q,35664
UART_RX_Inst/r_Clock_Count_0_sqmuxa_1_RNIMAGE4:A,35736
UART_RX_Inst/r_Clock_Count_0_sqmuxa_1_RNIMAGE4:B,35696
UART_RX_Inst/r_Clock_Count_0_sqmuxa_1_RNIMAGE4:Y,35696
UART_TX_Inst/o_TX_Serial:CLK,38327
UART_TX_Inst/o_TX_Serial:D,35750
UART_TX_Inst/o_TX_Serial:EN,
UART_TX_Inst/o_TX_Serial:Q,38327
UART_RX_Inst/r_SM_Main_RNO[1]:A,
UART_RX_Inst/r_SM_Main_RNO[1]:B,38318
UART_RX_Inst/r_SM_Main_RNO[1]:C,36478
UART_RX_Inst/r_SM_Main_RNO[1]:Y,36478
UART_RX_Inst/r_Bit_Index_1_sqmuxa:A,35820
UART_RX_Inst/r_Bit_Index_1_sqmuxa:B,
UART_RX_Inst/r_Bit_Index_1_sqmuxa:C,35711
UART_RX_Inst/r_Bit_Index_1_sqmuxa:D,35667
UART_RX_Inst/r_Bit_Index_1_sqmuxa:Y,35667
UART_RX_Inst/o_RX_Byte_80_0:A,38192
UART_RX_Inst/o_RX_Byte_80_0:B,37230
UART_RX_Inst/o_RX_Byte_80_0:C,38087
UART_RX_Inst/o_RX_Byte_80_0:D,38037
UART_RX_Inst/o_RX_Byte_80_0:Y,37230
UART_TX_Inst/r_Clock_Count_n1:A,38353
UART_TX_Inst/r_Clock_Count_n1:B,36562
UART_TX_Inst/r_Clock_Count_n1:C,38256
