pin,slack
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:CC[0],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:CC[1],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:CC[2],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:CC[3],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:CC[4],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:CC[5],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:CC[6],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:P[0],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:P[1],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:P[2],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:P[3],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:P[4],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:P[5],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:P[6],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:Y3A[0],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:Y3A[1],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:Y3A[2],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:Y3A[3],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:Y3A[4],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:Y3A[5],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:Y3A[6],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:Y3[0],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:Y3[1],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:Y3[2],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:Y3[3],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:Y3[4],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:Y3[5],
g_OLED_interface/s_PIXEL_COUNT_reg_s_96_CC_0:Y3[6],
g_OLED_interface/SCLK_clock_divider/s_ms_reg[3]:ALn,
g_OLED_interface/SCLK_clock_divider/s_ms_reg[3]:CLK,5949
g_OLED_interface/SCLK_clock_divider/s_ms_reg[3]:D,5660
g_OLED_interface/SCLK_clock_divider/s_ms_reg[3]:Q,5949
g_OLED_interface/s_state_reg[7]:ALn,
g_OLED_interface/s_state_reg[7]:CLK,
g_OLED_interface/s_state_reg[7]:D,
g_OLED_interface/s_state_reg[7]:Q,
g_OLED_interface/s_count_reg[3]:ALn,
g_OLED_interface/s_count_reg[3]:CLK,
g_OLED_interface/s_count_reg[3]:D,
g_OLED_interface/s_count_reg[3]:EN,
g_OLED_interface/s_count_reg[3]:Q,
g_OLED_interface/s_count_reg[3]:SLn,
g_OLED_interface/s_ASCII_8[290]:A,
g_OLED_interface/s_ASCII_8[290]:B,
g_OLED_interface/s_ASCII_8[290]:Y,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.un1_s_state_reg_3_sqmuxa_0:A,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.un1_s_state_reg_3_sqmuxa_0:B,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.un1_s_state_reg_3_sqmuxa_0:C,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.un1_s_state_reg_3_sqmuxa_0:D,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.un1_s_state_reg_3_sqmuxa_0:Y,
g_OLED_interface/s_ASCII[472]:ALn,
g_OLED_interface/s_ASCII[472]:CLK,
g_OLED_interface/s_ASCII[472]:D,
g_OLED_interface/s_ASCII[472]:EN,
g_OLED_interface/s_ASCII[472]:Q,
g_OLED_interface/s_ASCII_8[748]:A,
g_OLED_interface/s_ASCII_8[748]:B,
g_OLED_interface/s_ASCII_8[748]:Y,
g_OLED_interface/s_ASCII[473]:ALn,
g_OLED_interface/s_ASCII[473]:CLK,
g_OLED_interface/s_ASCII[473]:D,
g_OLED_interface/s_ASCII[473]:EN,
g_OLED_interface/s_ASCII[473]:Q,
g_OLED_interface/font/s_PIXEL_63_6_.m502_2_0:A,
g_OLED_interface/font/s_PIXEL_63_6_.m502_2_0:B,
g_OLED_interface/font/s_PIXEL_63_6_.m502_2_0:C,
g_OLED_interface/font/s_PIXEL_63_6_.m502_2_0:D,
g_OLED_interface/font/s_PIXEL_63_6_.m502_2_0:Y,
g_OLED_interface/s_ASCII[700]:ALn,
g_OLED_interface/s_ASCII[700]:CLK,
g_OLED_interface/s_ASCII[700]:D,
g_OLED_interface/s_ASCII[700]:EN,
g_OLED_interface/s_ASCII[700]:Q,
g_OLED_interface/font/s_PIXEL_63_6_.N_131_i:A,
g_OLED_interface/font/s_PIXEL_63_6_.N_131_i:B,
g_OLED_interface/font/s_PIXEL_63_6_.N_131_i:C,
g_OLED_interface/font/s_PIXEL_63_6_.N_131_i:Y,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_8:A,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_8:B,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_8:C,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_8:D,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_8:Y,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.un1_s_buffer_start_reg27_2_0_a3:A,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.un1_s_buffer_start_reg27_2_0_a3:B,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.un1_s_buffer_start_reg27_2_0_a3:C,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.un1_s_buffer_start_reg27_2_0_a3:D,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.un1_s_buffer_start_reg27_2_0_a3:Y,
g_OLED_interface/s_ASCII_8[289]:A,
g_OLED_interface/s_ASCII_8[289]:B,
g_OLED_interface/s_ASCII_8[289]:Y,
g_OLED_interface/s_ASCII[596]:ALn,
g_OLED_interface/s_ASCII[596]:CLK,
g_OLED_interface/s_ASCII[596]:D,
g_OLED_interface/s_ASCII[596]:EN,
g_OLED_interface/s_ASCII[596]:Q,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.un1_s_state_reg_3_sqmuxa_1_0_RNIH57E4:A,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.un1_s_state_reg_3_sqmuxa_1_0_RNIH57E4:B,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.un1_s_state_reg_3_sqmuxa_1_0_RNIH57E4:C,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.un1_s_state_reg_3_sqmuxa_1_0_RNIH57E4:D,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.un1_s_state_reg_3_sqmuxa_1_0_RNIH57E4:Y,
g_OLED_interface/s_ASCII_8[465]:A,
g_OLED_interface/s_ASCII_8[465]:B,
g_OLED_interface/s_ASCII_8[465]:Y,
g_OLED_interface/SCLK_clock_divider/un11_s_ms_next_cry_23:B,7941
g_OLED_interface/SCLK_clock_divider/un11_s_ms_next_cry_23:CC,7684
g_OLED_interface/SCLK_clock_divider/un11_s_ms_next_cry_23:P,7941
g_OLED_interface/SCLK_clock_divider/un11_s_ms_next_cry_23:S,7684
g_OLED_interface/SCLK_clock_divider/un11_s_ms_next_cry_23:Y3,
g_OLED_interface/SCLK_clock_divider/un11_s_ms_next_cry_23:Y3A,
g_OLED_interface/s_ASCII[210]:ALn,
g_OLED_interface/s_ASCII[210]:CLK,
g_OLED_interface/s_ASCII[210]:D,
g_OLED_interface/s_ASCII[210]:EN,
g_OLED_interface/s_ASCII[210]:Q,
g_OLED_interface/s_ASCII[573]:ALn,
g_OLED_interface/s_ASCII[573]:CLK,
g_OLED_interface/s_ASCII[573]:D,
g_OLED_interface/s_ASCII[573]:EN,
g_OLED_interface/s_ASCII[573]:Q,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_45_1_0_wmux_0_RNO:A,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_45_1_0_wmux_0_RNO:B,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_45_1_0_wmux_0_RNO:C,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_45_1_0_wmux_0_RNO:D,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_45_1_0_wmux_0_RNO:Y,
g_OLED_interface/s_count_reg_s[19]:B,
g_OLED_interface/s_count_reg_s[19]:CC,
g_OLED_interface/s_count_reg_s[19]:P,
g_OLED_interface/s_count_reg_s[19]:S,
g_OLED_interface/s_count_reg_s[19]:Y3,
g_OLED_interface/s_count_reg_s[19]:Y3A,
g_OLED_interface/s_ASCII_8[765]:A,
g_OLED_interface/s_ASCII_8[765]:B,
g_OLED_interface/s_ASCII_8[765]:Y,
g_OLED_interface/font/s_PIXEL_63_6_.m69:A,
g_OLED_interface/font/s_PIXEL_63_6_.m69:B,
g_OLED_interface/font/s_PIXEL_63_6_.m69:C,
g_OLED_interface/font/s_PIXEL_63_6_.m69:Y,
g_OLED_interface/s_ASCII[232]:ALn,
g_OLED_interface/s_ASCII[232]:CLK,
g_OLED_interface/s_ASCII[232]:D,
g_OLED_interface/s_ASCII[232]:EN,
g_OLED_interface/s_ASCII[232]:Q,
g_OLED_interface/font/s_PIXEL_63_6_.m113:A,
g_OLED_interface/font/s_PIXEL_63_6_.m113:B,
g_OLED_interface/font/s_PIXEL_63_6_.m113:C,
g_OLED_interface/font/s_PIXEL_63_6_.m113:Y,
g_OLED_interface/s_ASCII_8[77]:A,
g_OLED_interface/s_ASCII_8[77]:B,
g_OLED_interface/s_ASCII_8[77]:Y,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.s_state_reg_2_sqmuxa_i_RNI24I43:A,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.s_state_reg_2_sqmuxa_i_RNI24I43:B,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.s_state_reg_2_sqmuxa_i_RNI24I43:C,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.s_state_reg_2_sqmuxa_i_RNI24I43:D,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.s_state_reg_2_sqmuxa_i_RNI24I43:Y,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/o_DATA_RNI21LM01[1]:A,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/o_DATA_RNI21LM01[1]:B,
